Team,Season,Playoff,W,L,MOV,ORtg,DRtg,NRtg,Pace,FTr
Milwaukee Bucks,2019-20,0,56,17,10.08,112.98,103.36,9.62,NA,NA
Los Angeles Clippers,2019-20,0,49,23,6.44,114.66,108.25,6.41,NA,NA
Los Angeles Lakers,2019-20,0,52,19,5.79,112.78,107.14,5.65,NA,NA
Toronto Raptors,2019-20,0,53,19,6.24,112.02,105.85,6.18,NA,NA
Boston Celtics,2019-20,0,48,24,6.31,114.14,107.79,6.35,NA,NA
Dallas Mavericks,2019-20,0,43,32,4.95,117.5,112.53,4.97,NA,NA
Houston Rockets,2019-20,0,44,28,2.96,113.71,110.82,2.89,NA,NA
Utah Jazz,2019-20,0,44,28,2.47,113.14,110.48,2.66,NA,NA
Miami Heat,2019-20,0,44,29,2.95,113.29,110.36,2.93,NA,NA
Oklahoma City Thunder,2019-20,0,44,28,1.99,111.74,109.66,2.09,NA,NA
Denver Nuggets,2019-20,0,46,27,2.11,114.06,111.9,2.15,NA,NA
Philadelphia 76ers,2019-20,0,43,30,2.38,112.09,109.77,2.32,NA,NA
Indiana Pacers,2019-20,0,45,28,1.96,110.9,108.77,2.12,NA,NA
Phoenix Suns,2019-20,0,34,39,0.22,112.38,112.27,0.11,NA,NA
New Orleans Pelicans,2019-20,0,30,42,-1.29,111.42,112.62,-1.2,NA,NA
Portland Trail Blazers,2019-20,0,35,39,-1.15,114.26,115.41,-1.15,NA,NA
San Antonio Spurs,2019-20,0,32,39,-1.11,112.98,114.17,-1.2,NA,NA
Memphis Grizzlies,2019-20,0,34,39,-1.07,109.97,110.91,-0.94,NA,NA
Brooklyn Nets,2019-20,0,35,37,-0.57,109.68,110.25,-0.57,NA,NA
Orlando Magic,2019-20,0,33,40,-1.01,109.1,110.28,-1.18,NA,NA
Sacramento Kings,2019-20,0,31,41,-2.04,111.09,113.03,-1.94,NA,NA
Minnesota Timberwolves,2019-20,0,19,45,-4.3,108.91,113.03,-4.12,NA,NA
Chicago Bulls,2019-20,0,22,43,-3.08,107.6,110.74,-3.14,NA,NA
Detroit Pistons,2019-20,0,20,46,-3.56,109.96,113.59,-3.63,NA,NA
Washington Wizards,2019-20,0,25,47,-4.67,111.69,116.16,-4.46,NA,NA
New York Knicks,2019-20,0,21,45,-6.45,107.1,113.52,-6.42,NA,NA
Charlotte Hornets,2019-20,0,23,42,-6.75,107.32,114.21,-6.89,NA,NA
Atlanta Hawks,2019-20,0,20,47,-7.97,107.86,115.47,-7.61,NA,NA
Cleveland Cavaliers,2019-20,0,19,46,-7.89,108.14,116.2,-8.05,NA,NA
Golden State Warriors,2019-20,0,15,50,-8.71,105.93,114.66,-8.74,NA,NA
Utah Jazz,2020-21,0,52,20,9.25,118.42,108.94,9.48,NA,NA
Los Angeles Clippers,2020-21,0,47,25,6.18,118.39,112.13,6.26,NA,NA
Phoenix Suns,2020-21,0,51,21,5.82,118.01,112.14,5.87,NA,NA
Milwaukee Bucks,2020-21,0,46,26,5.89,117.68,112.03,5.65,NA,NA
Philadelphia 76ers,2020-21,0,49,23,5.58,114.13,108.51,5.62,NA,NA
Denver Nuggets,2020-21,0,47,25,4.93,118.04,113.01,5.03,NA,NA
Brooklyn Nets,2020-21,0,48,24,4.5,118.91,114.4,4.52,NA,NA
Los Angeles Lakers,2020-21,0,42,30,2.79,110.52,107.84,2.68,NA,NA
Dallas Mavericks,2020-21,0,42,30,2.26,116.16,113.79,2.37,NA,NA
New York Knicks,2020-21,0,41,31,2.31,111.38,108.97,2.41,NA,NA
Atlanta Hawks,2020-21,0,41,31,2.32,116.28,113.89,2.38,NA,NA
Portland Trail Blazers,2020-21,0,42,30,1.79,118.28,116.58,1.7,NA,NA
Boston Celtics,2020-21,0,36,36,1.46,114.66,113.29,1.37,NA,NA
